cte_N10_dt01_wd100	steering_N10_dt01_wd100	epsi_N10_dt01_wd100	acc_N10_dt01_wd100	cost_N10_dt01_wd100		cte_N10_dt005_wd500	steering_N10_dt005_wd500	epsi_N10_dt005_wd500	acc_N10_dt005_wd500	cost_N10_dt005_wd500		cte_N10_dt01_wd500	steering_N10_dt01_wd500	epsi_N10_dt01_wd500	acc_N10_dt01_wd500	cost_N10_dt01_wd500		cte_N7_dt01_wd100	steering_N7_dt01_wd100	epsi_N7_dt01_wd100	acc_N7_dt01_wd100	cost_N7_dt01_wd100		cte_N8_dt005_wd500	steering_N8_dt005_wd500	epsi_N8_dt005_wd500	acc_N8_dt005_wd500	cost_N8_dt005_wd500		cte_N10_dt005_wd500_ad	steering_N10_dt005_wd500_ad	epsi_N10_dt005_wd500_ad	acc_N10_dt005_wd500_ad	cost_N10_dt005_wd500_ad
-0.288219	-0.0243333	-0.0202418	0.348153	2.85923		0.0775467	-0.0139339	0.00564563	0.412674	10.9265		-0.284169	-0.0254282	-0.0224999	0.267223	2.09529		0.0201086	-0.0166552	-0.00371776	0.60251	10.6544		0.256886	-0.0166932	-0.00217359	0.479947	20.0215		-0.035321	-0.0275389	-0.0184012	0.465691	13.8091
-0.227696	-0.0238746	-0.0146513	1	152534		-0.088035	-0.0241339	-0.0203196	0.444202	12.5941		-0.215562	-0.0191875	-0.0164353	-0.261763	1.95367		0.0296934	-0.018223	-0.000790698	0.604094	10.7334		0.261511	-0.0185698	-0.00017603	0.477323	19.8437		0.0272588	-0.0246256	-0.0131069	0.481091	14.709
-0.183619	-0.0157935	-0.00882972	1	205842		-0.0254676	-0.0163706	-0.0149161	0.471644	14.0831		-0.173858	-0.0234328	-0.0111227	-0.0813985	0.832851		0.0302868	-0.0157661	0.00165691	0.492443	7.2292		0.260349	-0.0161181	0.0017986	0.46483	18.8083		0.0611024	-0.022227	-0.00737312	0.476428	14.4454
-0.164426	-0.0139199	-0.00349478	1	130961		0.0177534	-0.0219295	-0.00956534	0.480358	14.7136		-0.14743	-0.0179037	-0.0064565	1	49.5343		0.0248928	-0.0171531	0.00340287	0.399643	4.87244		0.253302	-0.0173107	0.00347546	0.453901	17.9526		0.0759167	-0.0192787	-0.00169997	0.462702	13.6356
-0.16027	-0.0217545	0.001227	1	66.6667		0.0411341	-0.0207254	-0.00564725	0.473024	14.2951		-0.132012	-0.019197	-0.00110317	1	289244		0.0135814	-0.0155529	0.00480774	0.376784	4.35065		0.243794	-0.015989	0.00447747	0.450014	17.6052		0.0741377	-0.0160184	0.00313913	0.450617	12.9315
-0.166269	-0.0230571	0.00344186	1	29.6063		0.0550393	-0.0153223	-0.00162499	0.459394	13.4773		-0.132493	-0.0171141	0.00220895	1	356528		-0.154264	-0.0264547	-0.0215896	0.50005	7.45302		0.0831762	-0.0267009	-0.0223458	0.451411	17.6427		0.0872143	-0.0102397	0.0130755	0.4485	12.8562
-0.158533	-0.014371	0.0116242	0.629013	8.41925		0.0561394	-0.0189091	0.00189979	0.450179	13.0037		-0.115568	-0.0172743	0.0119739	1	236618		-0.0874272	-0.0166496	-0.0162208	0.559534	9.16415		0.150818	-0.0176202	-0.0165653	0.454088	17.7898		0.0453007	-0.0101772	0.0137469	0.452758	13.0683
-0.197724	-0.0241337	0.011989	0.0717061	0.864097		0.0808891	-0.0157204	0.010985	0.449378	13.0154		-0.152488	-0.0190659	0.0120832	1	153665		-0.0463447	-0.0239413	-0.0113471	0.531114	8.38608		0.191881	-0.015543	-0.0113568	0.45615	18.0002		0.00626251	-0.0116003	0.0120425	0.459397	13.4469
-0.23034	-0.0267164	0.011222	-0.0915228	0.983076		0.0470694	-0.0165012	0.0109412	0.454253	13.2818		-0.194048	-0.0212711	0.0109978	1	82.6185		-0.0149737	-0.0165021	-0.00644416	0.454019	6.19191		0.22168	-0.022272	-0.00589875	0.456956	18.2365		-0.0197156	-0.0148937	0.00894019	0.462769	13.6678
-0.264565	-0.0182194	0.00996424	0.273587	2.34845		0.0150797	-0.0183878	0.00977003	0.45995	13.6216		-0.222452	-0.0229269	0.00964885	1	45.1131		0.000297616	-0.0216093	-0.00186273	0.400995	4.96899		0.236958	-0.0156106	-0.00201475	0.456639	18.1324		-0.0369184	-0.0201756	0.00405238	0.462859	13.7371
-0.290154	-0.0257096	0.00917726	1	105096		-0.0079839	-0.0218276	0.00795057	0.462289	13.7976		-0.254884	-0.0265934	0.0076056	0.814349	14.2468		0.00278586	-0.0165411	0.00119952	0.406609	5081		0.240263	-0.0147155	0.000895501	0.456129	18.0838		-0.0277452	-0.0274931	-0.00224933	0.459846	13.6805
